color,deleted,has_2fa,id,is_admin,is_app_user,is_bot,is_owner,is_primary_owner,is_restricted,is_ultra_restricted,name,real_name,team_id,tz,tz_label,tz_offset,updated
,TRUE,,U010VFYCJG3,,,,,,,,christian,Christian Croghan,T7GMC60JX,,,,2020-04-01 11:18:46
d1707d,,,UFP6V5W4E,,,,,,,,senaida,Senaida Sallis,T7GMC60JX,Europe/Brussels,Central European Time,3600,2020-09-29 21:34:04
d55aef,,,U0150NU7AR4,,,,,,,,javier,Javier Jimenes,T7GMC60JX,America/Chicago,Central Standard Time,-21600,2020-09-27 17:15:58
9e3997,,,U015ZU8GRDH,,,,,,,,abram,Abram Annunziata,T7GMC60JX,America/Los_Angeles,Pacific Standard Time,-28800,2020-09-15 18:10:24
a72f79,,,U01APTV5FRQ,,,,,,,,carolyn,Carolyn Cortese,T7GMC60JX,Europe/Amsterdam,Central European Time,3600,2020-09-17 7:19:01
c386df,,,U01AQ930Y3W,,,,,,,,narcisa,Narcisa Nevers,T7GMC60JX,Europe/London,Greenwich Mean Time,,2020-09-24 9:30:59
aba727,,,U01AA2N616K,,,,,,,,marx,Marx Mori,T7GMC60JX,Europe/London,Greenwich Mean Time,,2020-09-15 16:01:08
965d1b,,,U01AAS0C63H,,,,,,,,cornelia,Cornelia Clancy,T7GMC60JX,America/New_York,Eastern Standard Time,-18000,2020-09-15 20:49:46
e85d72,,,U01ABLQ1JBH,,,,,,,,cora,Cora Cassidy,T7GMC60JX,Asia/Kolkata,India Standard Time,19800,2020-09-16 6:56:06
8469bc,,,U01ACP97M1D,,,,,,,,malorie,Malorie Manfre,T7GMC60JX,Asia/Kolkata,India Standard Time,19800,2020-09-16 14:53:10
2b6836,,,U01AGFYT98F,,,,,,,,hue,Hue Hedberg,T7GMC60JX,America/Buenos_Aires,Argentina Time,-10800,2020-09-17 20:19:03
df3dc0,,,U01AH2MDLNB,,,,,,,,christy,Christy Capote,T7GMC60JX,Australia/Canberra,Australian Eastern Daylight Time,39600,2020-09-18 2:00:59
bd9336,,,U01AKE8A0QN,,,,,,,,claire,Claire Cosby,T7GMC60JX,America/New_York,Eastern Standard Time,-18000,2020-09-16 3:41:38
235e5b,,,U01AKM4CALX,,,,,,,,marcos,Marcos Michaud,T7GMC60JX,Asia/Kolkata,India Standard Time,19800,2020-09-19 5:07:43
dc7dbb,,,U01AKTKMGNS,,,,,,,,marth,Marth Macaraeg,T7GMC60JX,Asia/Kolkata,India Standard Time,19800,2020-09-16 8:49:44
b14cbc,,,U01AN8EJ5PG,,,,,,,,dahlia,Dahlia Dressel,T7GMC60JX,Asia/Chongqing,China Standard Time,28800,2020-09-17 2:35:09
e0a729,,,U01APJV08VC,,,,,,,,chang,Chang Craner,T7GMC60JX,America/Bogota,South America Pacific Standard Time,-18000,2020-09-17 14:51:36
50a0cf,,,U01APS5PMV5,,,,,,,,wenona,Wenona Wass,T7GMC60JX,Asia/Bangkok,Indochina Time,25200,2020-09-22 6:07:27
